radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
172.636234,0.486,9.403244,0.234,9.272,0.015,2,10.302,0.184,4,NA,NA,0,9.99,0.235,3,8.971,0.029,2,8.735,0.037,2,8.719,0.126,2,NA,NA,0
172.638494,0.215,9.486772,0.257,15.738,0.078,4,17.23,0.217,4,NA,NA,0,16.497,0.025,4,15.101,0.051,4,14.385,0.034,4,NA,NA,0,NA,NA,0
172.643199,0.363,9.272877,0.299,13.369,0.049,4,14.147,0.071,4,NA,NA,0,13.703,0.031,4,13.173,0.056,4,12.963,0.096,4,12.996,0.105,1,NA,NA,0
172.646396,0.478,9.54929,0.247,NA,NA,0,NA,NA,0,NA,NA,0,18.475,0.24,1,17.054,0.151,1,NA,NA,0,NA,NA,0,NA,NA,0
172.647599,0.538,9.01159,0.503,NA,NA,0,NA,NA,0,NA,NA,0,18.233,0.209,3,16.875,0.094,3,16.084,0.166,3,NA,NA,0,NA,NA,0
172.648927,0.383,9.463806,0.269,13.642,0.024,4,14.221,0.077,4,NA,NA,0,13.881,0.035,4,13.489,0.03,4,13.396,0.06,4,13.733,0.181,2,NA,NA,0
172.650847,0.58,9.322624,0.468,17.182,0.155,1,18.261,0.269,1,NA,NA,0,17.721,0.035,3,16.89,0.085,3,16.397,0.103,3,NA,NA,0,NA,NA,0
172.652669,0.346,9.480092,0.3,12.733,0.015,5,13.846,0.065,5,NA,NA,0,13.227,0.037,5,12.373,0.038,5,12.014,0.043,5,11.982,0.161,3,NA,NA,0
172.653786,0.323,9.372295,0.207,12.705,0.015,4,13.41,0.075,4,NA,NA,0,13.008,0.035,4,12.531,0.036,4,12.406,0.055,4,12.634,0.228,2,NA,NA,0
172.654728,0.454,9.077761,0.36,16.954,0.073,4,17.6,0.092,4,NA,NA,0,17.288,0.063,4,16.671,0.073,4,16.205,0.03,2,NA,NA,0,NA,NA,0
172.659085,0.452,8.97101,0.115,NA,NA,0,NA,NA,0,NA,NA,0,18.018,0.155,3,17.548,0.153,3,NA,NA,0,NA,NA,0,NA,NA,0
172.667393,0.621,8.92272,0.355,NA,NA,0,NA,NA,0,NA,NA,0,17.926,0.125,4,16.571,0.109,4,15.947,0.164,4,NA,NA,0,NA,NA,0
172.669108,0.512,9.814615,0.284,16.833,0.088,4,17.733,0.121,4,NA,NA,0,17.462,0.198,5,16.589,0.048,5,16.135,0.154,4,NA,NA,0,NA,NA,0
172.669635,0.596,9.74666,0.392,16.588,0.126,4,17.579,0.053,4,NA,NA,0,17.169,0.118,5,16.386,0.079,5,16.168,0.297,4,NA,NA,0,NA,NA,0
172.674164,0.332,9.637569,0.163,NA,NA,0,NA,NA,0,NA,NA,0,18.482,0.214,1,17.529,0.22,1,NA,NA,0,NA,NA,0,NA,NA,0
172.674686,0.917,9.318191,0.26,17.909,0.318,1,18.064,0.246,1,NA,NA,0,17.955,0.132,4,17.025,0.165,4,16.501,0.164,2,NA,NA,0,NA,NA,0
172.676216,0.495,9.819521,0.383,NA,NA,0,NA,NA,0,NA,NA,0,17.745,0.042,4,16.991,0.059,4,NA,NA,0,NA,NA,0,NA,NA,0
172.677525,0.682,8.903626,0.336,NA,NA,0,NA,NA,0,NA,NA,0,17.883,0.112,4,17.001,0.168,4,NA,NA,0,NA,NA,0,NA,NA,0
172.67968,0.521,9.049174,0.455,17.182,0.051,2,18.252,0.034,2,NA,NA,0,17.983,0.05,3,16.692,0.109,4,16.103,0.047,4,NA,NA,0,NA,NA,0
172.680918,0.238,9.457916,0.205,16.11,0.033,4,17.279,0.113,4,NA,NA,0,16.732,0.046,4,15.701,0.095,4,15.303,0.065,4,NA,NA,0,NA,NA,0
172.681234,0.399,9.393539,0.545,14.024,0.065,4,14.914,0.092,4,NA,NA,0,14.411,0.072,4,13.736,0.07,4,13.489,0.059,4,13.717,0.195,1,NA,NA,0
172.681433,0.506,9.033584,0.699,17.447,0.155,2,18.266,0.277,2,NA,NA,0,18.111,0.118,3,16.802,0.244,3,16.409,0.021,2,NA,NA,0,NA,NA,0
172.690696,0.184,9.180665,0.096,10.456,0.017,6,11.625,0.073,4,NA,NA,0,10.984,0.042,5,10.108,0.05,6,9.759,0.017,2,9.608,0.089,2,NA,NA,0
172.692338,0.286,9.673817,0.182,15.955,0.077,5,16.466,0.185,5,NA,NA,0,16.152,0.04,5,15.833,0.034,5,15.8,0.088,5,NA,NA,0,NA,NA,0
