radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
256.431594,0.127,30.425368,0.12,13.955,0.016,2,14.291,0.011,2,NA,NA,0,14.031,0.019,2,13.918,0.014,2,13.807,0.032,2,NA,NA,0,NA,NA,0
256.434378,0.294,30.3501,0.168,16.277,0.035,2,16.948,0.09,2,NA,NA,0,16.523,0.057,2,16.062,0.036,2,15.562,0.057,2,NA,NA,0,NA,NA,0
256.435145,0.073,30.212332,0.073,12.75,0.005,2,13.723,0.007,2,NA,NA,0,13.149,0.017,2,12.436,0.029,2,12.051,0.013,2,NA,NA,0,NA,NA,0
256.43516,0.674,29.993077,0.355,17.074,0.131,1,18.028,0.209,1,NA,NA,0,17.567,0.076,2,16.45,0.076,2,15.843,0.133,2,NA,NA,0,NA,NA,0
256.435566,0.228,30.024868,0.297,17.348,0.165,1,17.935,0.189,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
256.438395,0.212,30.427205,0.352,17.53,0.193,1,18.066,0.223,1,NA,NA,0,17.759,0.103,1,17.336,0.168,1,NA,NA,0,NA,NA,0,NA,NA,0
256.438406,0.333,30.172088,0.283,NA,NA,0,NA,NA,0,NA,NA,0,17.814,0.104,1,17.264,0.154,1,NA,NA,0,NA,NA,0,NA,NA,0
256.440688,0.248,30.155829,0.21,NA,NA,0,NA,NA,0,NA,NA,0,17.939,0.121,1,17.121,0.144,1,NA,NA,0,NA,NA,0,NA,NA,0
256.441877,0.115,30.1117,0.178,NA,NA,0,NA,NA,0,NA,NA,0,17.808,0.1,1,17.189,0.15,1,NA,NA,0,NA,NA,0,NA,NA,0
256.442146,0.584,29.933704,0.289,17.083,0.015,2,17.664,0.085,2,NA,NA,0,17.263,0.107,2,16.847,0.057,2,16.612,0.249,1,NA,NA,0,NA,NA,0
