radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
141.542515,0.075,40.628267,0.091,13.758,0.043,2,14.207,0.006,2, , ,0,13.756,0.036,2,13.62,0.008,2,13.476,0.047,2, , ,0, , ,0
141.542689,0.05,40.090999,0.104,11.215,0.023,2,11.638,0.001,2, , ,0,11.195,0.032,2,11.07,0.014,2,10.935,0.043,2, , ,0, , ,0
141.544867,0.501,40.155837,0.407,16.115,0.093,2,16.783,0.078,2, , ,0,16.185,0.04,2,15.833,0.051,2,15.399,0.013,2, , ,0, , ,0
141.546754,0.342,40.679138,0.397,16.037,0.104,2,16.727,0.069,2, , ,0,16.154,0.065,2,15.941,0.023,2,16.183,0.383,2, , ,0, , ,0
141.547861,0.458,40.440377,0.634,16.984,0.028,2,17.328,0.167,2, , ,0,16.895,0.078,2,16.741,0.114,2,16.46,0.255,1, , ,0, , ,0
141.548127,0.15,40.61385,0.156,14.847,0.054,2,15.272,0.022,2, , ,0,14.841,0.047,2,14.767,0.014,2,14.615,0.024,2, , ,0, , ,0
141.548616,0.251,40.093304,0.277,12.774,0.026,2,13.597,0.009,2, , ,0,12.982,0.029,2,12.461,0.008,2,12.124,0.038,2, , ,0, , ,0
141.552636,0.124,40.351814,0.241,14.755,0.002,2,15.292,0.016,2, , ,0,14.788,0.024,2,14.501,0.007,2,14.339,0.008,2, , ,0, , ,0
141.555394,0.062,40.370268,0.074,13.417,0.034,2,14.084,0.004,2, , ,0,13.528,0.036,2,13.19,0.002,2,12.968,0.054,2, , ,0, , ,0
141.555448,0.337,40.244423,0.443,16.219,0.019,2,16.692,0.001,2, , ,0,16.312,0.017,2,15.98,0.058,2,15.574,0.061,2, , ,0, , ,0
141.562651,0.354,40.277657,0.88, , ,0, , ,0, , ,0,17.779,0.154,1,16.73,0.138,1, , ,0, , ,0, , ,0
141.564125,0.251,40.590052,0.289, , ,0, , ,0, , ,0,17.268,0.055,2,15.918,0.114,2,15.09,0.052,2, , ,0, , ,0
141.564281,0.422,40.661862,0.482, , ,0, , ,0, , ,0,17.985,0.03,2,16.796,0.185,2,16.098,0.25,2, , ,0, , ,0
141.565507,0.272,40.705672,0.315,15.667,0.037,2,16.412,0.033,2, , ,0,15.846,0.035,2,15.404,0.02,2,15.136,0.057,2, , ,0, , ,0
141.566389,0.712,40.575544,0.584, , ,0, , ,0, , ,0,17.55,0.045,2,17.21,0.346,2, , ,0, , ,0, , ,0
141.568204,0.222,40.638584,0.307,15.767,0.039,2,16.549,0.013,2, , ,0,16.048,0.01,2,15.377,0.05,2,15.125,0.055,2, , ,0, , ,0
141.568505,0.45,40.540125,0.45,16.51,0.021,2,17.308,0.006,2, , ,0,16.723,0.139,2,16.167,0.037,2,15.989,0.008,2, , ,0, , ,0
141.575819,0.414,40.536515,0.508, , ,0, , ,0, , ,0,17.792,0.156,1,16.344,0.097,1, , ,0, , ,0, , ,0
141.576807,0.243,40.225021,0.292,15.507,0.06,2,16.759,0.154,2, , ,0,15.971,0.024,2,14.939,0.026,2,14.374,0.031,2, , ,0, , ,0
141.578002,0.346,40.113201,0.403, , ,0, , ,0, , ,0,17.005,0.046,2,16.354,0.001,2,15.774,0.03,2, , ,0, , ,0
141.578937,0.249,40.611189,0.446,16.255,0.1,2,16.761,0.029,2, , ,0,16.355,0.004,2,16.123,0.089,2,16.016,0.198,1, , ,0, , ,0
141.58205,0.069,40.496775,0.097,13.486,0.012,2,14.431,0.027,2, , ,0,13.783,0.022,2,13.071,0.013,2,12.714,0.056,2, , ,0, , ,0
141.583678,0.381,40.104819,0.395,15.849,0.017,2,16.591,0.004,2, , ,0,15.92,0.006,2,15.592,0.044,2,15.488,0.024,2, , ,0, , ,0
141.586563,0.14,40.399316,0.194,14.647,0.048,2,15.219,0.025,2, , ,0,14.744,0.04,2,14.402,0.022,2,14.314,0.038,2, , ,0, , ,0
141.60092,0.134,40.339489,0.235,14.591,0.042,2,15.342,0.026,2, , ,0,14.756,0.014,2,14.309,0.017,2,13.936,0.032,2, , ,0, , ,0
141.601773,0.724,40.212835,0.759, , ,0, , ,0, , ,0,17.494,0.142,1,17.375,0.243,1, , ,0, , ,0, , ,0
141.601841,0.099,40.195356,0.106,12.43,0.034,2,13.417,0.004,2, , ,0,12.706,0.024,2,12.062,0.019,2,11.731,0.051,2, , ,0, , ,0
141.60779,0.08,40.503659,0.105,13.92,0.022,2,14.7,0.01,2, , ,0,14.08,0.031,2,13.618,0.014,2,13.322,0.031,2, , ,0, , ,0
141.609283,0.631,40.548694,0.553,16.229,0.007,2,17.182,0.054,2, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0
141.610173,0.551,40.126802,0.332, , ,0, , ,0, , ,0,17.384,0.008,2,16.731,0.055,2, , ,0, , ,0, , ,0
141.611842,0.435,40.51834,0.587,16.704,0.094,2,17.446,0.01,2, , ,0,16.944,0.12,2,16.103,0.03,2,15.772,0.054,2, , ,0, , ,0
141.612078,0.492,40.259199,0.573,16.383,0.051,2,17.198,0.03,2, , ,0,16.772,0.001,2,16.32,0.02,2,15.987,0.075,2, , ,0, , ,0
141.612326,0.204,40.177946,0.486, , ,0, , ,0, , ,0,17.281,0.033,2,17.288,0.379,2, , ,0, , ,0, , ,0
141.61602,0.227,40.37933,0.48,15.953,0.082,2,16.312,0.086,2, , ,0,15.935,0.04,2,15.773,0.003,2,15.6,0.067,2, , ,0, , ,0
141.618351,0.103,40.560117,0.093,10.074,0.027,2,10.29,0.008,2, , ,0,10.098,0.001,1,10.043,0.02,2,10.053,0.002,1, , ,0, , ,0
141.626484,0.359,40.207134,0.431,16.641,0.082,2,16.908,0.116,2, , ,0,16.494,0.024,2,16.474,0.071,2, , ,0, , ,0, , ,0
141.64026,0.356,40.440486,0.333,16.674,0.178,2,17.304,0.15,2, , ,0,16.66,0.034,2,16.278,0.019,2,15.765,0.153,1, , ,0, , ,0
141.640804,0.275,40.278548,0.402,15.729,0.032,2,16.179,0.021,2, , ,0,15.71,0.032,2,15.649,0.038,2,15.369,0.069,2, , ,0, , ,0
141.642297,0.609,40.421586,0.525, , ,0, , ,0, , ,0,17.874,0.16,1,16.652,0.13,1,15.637,0.136,1, , ,0, , ,0
141.642476,0.063,40.307087,0.145,10.077,0.029,2,11.065,0.012,2, , ,0,10.373,0.03,2, , ,0, , ,0, , ,0, , ,0
141.645304,0.355,40.175352,0.217,15.632,0.056,2,16.65,0.008,2, , ,0,16.03,0.047,2,14.928,0.011,2,14.29,0.006,2, , ,0, , ,0
141.649626,0.534,40.281088,0.688, , ,0, , ,0, , ,0,17.722,0.03,2,16.852,0.005,2,16.461,0.272,1, , ,0, , ,0
141.657416,0.684,40.633819,0.617, , ,0, , ,0, , ,0,17.077,0.067,2,16.415,0.032,2,16.195,0.155,2, , ,0, , ,0
141.662608,0.389,40.580103,0.445,16.328,0.003,2,17.09,0.126,2, , ,0,16.438,0.001,2,16.08,0.044,2,15.896,0.046,2, , ,0, , ,0
141.67048,0.205,40.280079,0.196,15.057,0,2,15.351,0.015,2, , ,0,14.987,0.006,2,14.936,0.05,2,14.817,0.07,2, , ,0, , ,0
141.672449,0.375,40.381278,0.465,17.068,0.156,1,17.409,0.165,1, , ,0,16.924,0.033,2,16.2,0.061,2,15.92,0.022,2, , ,0, , ,0
141.672626,0.441,40.206096,0.335, , ,0, , ,0, , ,0,17.438,0.117,1,16.566,0.119,1,16.178,0.21,1, , ,0, , ,0
141.676158,0.144,40.310028,0.143,14.606,0.03,2,15.132,0.016,2, , ,0,14.622,0.039,2,14.41,0.013,2,14.201,0.078,2, , ,0, , ,0
141.676808,0.058,40.193502,0.087,12.66,0.025,2,13.377,0.009,2, , ,0,12.807,0.024,2,12.376,0.007,2,12.153,0.05,2, , ,0, , ,0
141.68457,0.848,40.27142,0.529, , ,0, , ,0, , ,0,17.508,0.106,2,16.691,0.124,2, , ,0, , ,0, , ,0
141.685074,0.204,40.460335,0.268,15.051,0.014,2,16.037,0.014,2, , ,0,15.363,0.016,2,14.509,0.011,2,14.154,0.063,2, , ,0, , ,0
141.70273,0.476,40.440562,0.297, , ,0, , ,0, , ,0,17.487,0.02,2,16.581,0.017,2,15.975,0.341,2, , ,0, , ,0
141.705206,0.492,40.451189,0.371, , ,0, , ,0, , ,0,17.25,0.133,2,17.027,0.024,2, , ,0, , ,0, , ,0
141.713757,0.332,40.552712,0.439,16.284,0.05,2,16.897,0.055,2, , ,0,16.344,0.087,2,16.026,0.074,2,16.072,0.053,2, , ,0, , ,0
141.721696,0.066,40.390849,0.099,13.142,0.023,2,13.638,0.018,2, , ,0,13.168,0.04,2,12.96,0.008,2,12.776,0.04,2, , ,0, , ,0
141.728108,0.374,40.383086,0.259,16.182,0.078,1,17.502,0.19,1, , ,0,16.548,0.011,2,15.543,0.023,2,14.44,0.014,2, , ,0, , ,0
141.732526,0.468,40.496614,0.337,16.082,0.048,2,16.87,0.007,2, , ,0,16.178,0.007,2,15.769,0.051,2,15.5,0.023,2, , ,0, , ,0
141.734494,1.139,40.357789,0.452,17.281,0.027,2,18.406,0.675,2, , ,0,17.286,0.085,2,16.984,0.099,2, , ,0, , ,0, , ,0
