radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
183.365321,0.498,32.811027,0.311,15.425,0.106,13,16.622,0.122,13, , ,0,16.029,0.103,13,14.893,0.109,13,14.455,0.11,13, , ,0, , ,0
183.367191,0.841,32.948176,0.489, , ,0, , ,0, , ,0,17.583,0.184,4,16.957,0.245,4, , ,0, , ,0, , ,0
183.369153,0.604,32.698663,0.479,16.863,0.104,6,17.483,0.251,6, , ,0,17.118,0.134,10,16.771,0.156,10,16.318,0.171,3, , ,0, , ,0
183.370581,0.596,32.952346,0.319,15.527,0.1,13,16.115,0.099,13, , ,0,15.79,0.078,12,15.361,0.1,12,15.215,0.136,12, , ,0, , ,0
183.377364,0.748,32.471658,0.485,17.266,0.097,3,17.991,0.354,3, , ,0,17.541,0.207,8,17.008,0.088,8, , ,0, , ,0, , ,0
183.378684,0.752,32.74378,0.45,17.149,0.032,3,17.737,0.217,3, , ,0,17.467,0.118,10,17.072,0.182,10, , ,0, , ,0, , ,0
183.379403,0.398,32.990117,0.211,14.529,0.063,13,15.066,0.087,13, , ,0,14.747,0.096,13,14.377,0.091,13,14.262,0.091,13, , ,0, , ,0
183.386938,0.39,32.716792,0.273,14.656,0.066,12,15.701,0.102,12, , ,0,15.142,0.071,12,14.266,0.088,12,13.9,0.089,12, , ,0, , ,0
183.388595,0.671,32.842657,0.285,15.201,0.055,11,15.834,0.07,11, , ,0,15.483,0.101,13,14.996,0.089,13,14.794,0.109,13, , ,0, , ,0
183.399961,0.525,32.935573,0.21, , ,0, , ,0, , ,0,18.038,0.082,2,17.094,0.08,2, , ,0, , ,0, , ,0
183.405174,0.31,32.66397,0.198,13.867,0.066,12,14.094,0.078,12, , ,0,13.917,0.066,12,13.871,0.076,12,13.942,0.09,12, , ,0, , ,0
183.405788,0.25,32.552092,0.164,13.371,0.069,12,14.077,0.061,12, , ,0,13.68,0.073,12,13.181,0.082,12,13.019,0.082,12, , ,0, , ,0
183.410252,0.336,32.943819,0.046,14.49,0.017,1,15.173,0.032,1, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0
183.420326,1.249,32.521884,1.336,11.92,0.066,11,13.393,0.049,11, , ,0,12.684,0.069,12,11.336,0.09,12,10.592,0.095,12, , ,0, , ,0
183.423285,0.519,32.524361,0.357,12.607,0.068,11,14.11,0.075,11, , ,0,13.365,0.08,12,12.012,0.088,12,11.087,0.092,12, , ,0, , ,0
183.435454,0.212,32.65406,0.127,11.511,0.07,12,12.365,0.067,12, , ,0,11.903,0.069,12,11.264,0.085,12,10.985,0.085,12, , ,0, , ,0
183.438961,0.157,32.567898,0.133,12.249,0.067,12,12.825,0.071,12, , ,0,12.497,0.067,12,12.11,0.08,12,11.982,0.079,12, , ,0, , ,0
183.445276,0.659,32.875531,0.549,17.001,0.114,2,18.054,0.243,2, , ,0,17.739,0.145,8,16.458,0.163,8,15.877,0.169,8, , ,0, , ,0
183.445657,0.157,32.696815,0.152,12.507,0.066,12,13.504,0.063,12, , ,0,12.998,0.069,12,12.13,0.089,12,11.81,0.084,12, , ,0, , ,0
183.457102,0.399,32.65976,0.237,14.348,0.067,12,14.904,0.059,12, , ,0,14.576,0.07,12,14.204,0.085,12,14.076,0.099,12, , ,0, , ,0
183.46794,0.626,32.732038,0.473,16.907,0.128,7,17.477,0.222,7, , ,0,17.169,0.116,9,16.594,0.134,9,16.143,0.101,3, , ,0, , ,0
183.472385,0.387,32.698839,0.399, , ,0, , ,0, , ,0,18.04,0.117,1,17.214,0.153,1, , ,0, , ,0, , ,0
183.475629,0.408,32.659532,0.096, , ,0, , ,0, , ,0,18.763,0.219,1,17.622,0.215,1, , ,0, , ,0, , ,0
183.488202,0.48,32.768452,0.234,15.256,0.07,12,15.858,0.09,12, , ,0,15.509,0.059,12,15.112,0.087,12,15.007,0.109,12, , ,0, , ,0
